vin,sequence_index,vehicle_model,powertrain_type,assembly_hall,station_code,spindle_torque_nm,nominal_torque_nm,thermal_paste_vol_ml,weld_temperature_c,structural_adhesion_kpa,hv_insulation_mohm,actual_cycle_time_sec,target_takt_time_sec,jis_woodruff_battery_batch,quarantine_status,scrap_risk_score,timestamp
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,46.06,45.0,332.9,187.5,829.7,548.6,51.8,50.0,WF-800V-9147,PASSED,0.14,2026-09-03T13:04:42.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,46.71,45.0,336.6,184.4,808.1,562.6,56.0,58.0,WF-800V-9147,PASSED,0.11,2026-09-03T13:04:53.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,64.72,65.0,301.5,188.1,795.7,557.4,63.3,64.0,WF-800V-9147,PASSED,0.15,2026-09-03T13:04:39.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,45.79,45.0,341.3,185.8,793.3,551.9,75.4,72.0,WF-800V-9147,PASSED,0.03,2026-09-03T13:04:52.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,44.43,45.0,341.1,189.4,832.8,558.6,61.7,66.0,WF-800V-9147,PASSED,0.1,2026-09-03T13:04:36.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,45.36,45.0,319.0,184.1,794.7,551.0,54.5,58.0,WF-800V-9147,PASSED,0.09,2026-09-03T13:04:34.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,45.8,45.0,331.3,198.9,798.3,551.7,51.8,52.0,WF-800V-9147,PASSED,0.14,2026-09-03T13:04:44.244203+00:00
4USBM534672,1,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,45.6,45.0,328.1,182.2,807.8,532.0,64.3,64.0,WF-800V-9147,PASSED,0.11,2026-09-03T13:05:04.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,44.03,45.0,0.0,184.8,789.9,999.0,46.3,48.0,N/A_ICE,PASSED,0.03,2026-09-03T13:05:24.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,43.77,45.0,0.0,188.6,863.1,999.0,47.0,54.0,N/A_ICE,PASSED,0.11,2026-09-03T13:05:40.244203+00:00
